time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI30d,SplyCur,TxCnt,TxTfrCnt
2018-03-14,5137,291663,1614335059,1614335059,1.09399699,5274094370.7927,0,0,0.0006414513200123545,5.2740943707927,-42.477548074525956,1000000000,6412,6449
2018-03-15,5292,292328,1614335060,1614335060,1.07078005,5128171081.42113,0,0,0.0006201990455060816,5.12817108142113,-42.35626245602235,1000000000,7137,7156
2018-03-16,4149,292845,1614335060,1614335060,1.06390155,5083021220.30031,0,0,0.0006067899211891733,5.08302122030031,-48.457268036315114,1000000000,5535,5573
2018-03-17,3868,293292,1614335060,1614335060,0.97946871,4627602585.8051,0,0,0.0005871353824198444,4.6276025858051,-53.16277322934191,1000000000,4964,4985
2018-03-18,4769,294230,1614335060,1614335060,0.97066323,4585581253.56495,0,0,0.0005599672599068375,4.58558125356495,-53.28630507483783,1000000000,6435,6497
2018-03-19,5071,295434,1614335060,1614335060,1.20396265,5894208687.59025,0,0,0.0006904296475093285,5.89420868759025,-41.34073573503786,1000000000,7168,7341
2018-03-20,5501,296827,1614335060,1614335060,1.20598334,5942255440.34286,0,0,0.0006680033640067408,5.94225544034286,-34.76863241805852,1000000000,7627,7781
2018-03-21,9013,298751,1614335060,1614335060,1.34386926,6838614078.02405,0,0,0.0007701493875083584,6.83861407802405,-27.909769508487543,1000000000,12947,12873
2018-03-22,13485,300174,1614335060,1614335060,1.34250146,6854286859.99796,0,0,0.0007868844584249963,6.85428685999796,-22.44017643637003,1000000000,18968,18536
2018-03-23,12049,299317,1614335060,1614335060,1.34098851,6861538379.93328,0,0,0.0007822317389132334,6.86153837993328,-17.331699159342634,1000000000,15669,15204
2018-03-24,6102,299652,1614335060,1614335060,1.28858155,6560333387.46791,0,0,0.0007618560139756737,6.56033338746791,-16.064165761252905,1000000000,8726,8515
2018-03-25,4756,300256,1614335060,1614335060,1.26201954,6419253613.13344,0,0,0.0007605200230206296,6.41925361313344,-22.072733799289228,1000000000,6851,6845
2018-03-26,6424,299495,1614335060,1614335060,1.16865125,5840351695.12789,0,0,0.0007147497158024827,5.84035169512789,-26.00684026483216,1000000000,9352,9404
2018-03-27,5996,299526,1614335060,1614335060,1.17294314,5872263944.5171,0,0,0.0007492746136816729,5.8722639445171,-23.79655213855839,1000000000,8884,9017
2018-03-28,5790,300321,1614335060,1614335060,1.26542532,6180884474.42998,0,0,0.000779072701534583,6.18088447442998,-22.416186974469788,1000000000,8045,8146
2018-03-29,5538,301511,1614335060,1614335060,1.22138743,5903648932.44876,0,0,0.0008304973091680355,5.90364893244876,-29.97908144059766,1000000000,7921,8008
2018-03-30,7745,302448,1614335060,1614335060,1.23039585,5973258011.40909,0,0,0.0008742868390916026,5.97325801140909,-26.665950374655047,1000000000,10068,10280
2018-03-31,4312,303292,1614335060,1614335060,1.21827495,5920860125.14542,0,0,0.0008553336495867195,5.92086012514542,-30.11986663608839,1000000000,5792,5847
2018-04-01,4288,304034,1614335061,1614335061,1.16323138,5599570379.67509,0,0,0.0008229186429608023,5.59957037967509,-29.89236125982121,1000000000,6196,6238
2018-04-02,4814,305059,1614335061,1614335061,1.19095125,5785786924.00038,0,0,0.0008226323561432903,5.78578692400038,-26.70956246081716,1000000000,6598,6626
2018-04-03,5124,306044,1614335061,1614335061,1.23186533,6061882511.08361,0,0,0.0008168771682289263,6.06188251108361,-24.86805053711432,1000000000,6779,6856
